Task ID,Supplier ID,Cost
30/05/2019,S57,0.290967292
30/05/2019,S40,0.293925416
30/05/2019,S24,0.2963877
30/05/2019,S56,0.302213243
30/05/2019,S32,0.30239373
30/05/2019,S7,0.303812759
30/05/2019,S4,0.307330783
30/05/2019,S15,0.307691824
30/05/2019,S47,0.309031462
30/05/2019,S13,0.309402542
30/05/2019,S12,0.313509448
30/05/2019,S34,0.313587125
30/05/2019,S29,0.313858096
30/05/2019,S41,0.314410173
30/05/2019,S54,0.315261793
30/05/2019,S19,0.316254226
30/05/2019,S27,0.317432209
30/05/2019,S14,0.320663187
30/05/2019,S46,0.320763314
30/05/2019,S49,0.323564526
26/09/2019,S19,0.283751545
26/09/2019,S30,0.28504317
26/09/2019,S14,0.28917233
26/09/2019,S57,0.292822944
26/09/2019,S49,0.293406062
26/09/2019,S62,0.293596418
26/09/2019,S43,0.294285788
26/09/2019,S4,0.297319669
26/09/2019,S59,0.29847631
26/09/2019,S8,0.299798408
26/09/2019,S32,0.299922861
26/09/2019,S38,0.301205131
26/09/2019,S6,0.304175263
26/09/2019,S40,0.30630658
26/09/2019,S37,0.306547939
26/09/2019,S44,0.306874993
26/09/2019,S18,0.307165426
26/09/2019,S35,0.307173978
26/09/2019,S61,0.307214421
26/09/2019,S9,0.307370479
29/11/2019,S46,0.28457495
29/11/2019,S40,0.298487824
29/11/2019,S39,0.301013685
29/11/2019,S51,0.301494177
29/11/2019,S60,0.302832256
29/11/2019,S12,0.302904668
29/11/2019,S47,0.304856613
29/11/2019,S13,0.305388131
29/11/2019,S6,0.305571215
29/11/2019,S56,0.308773637
29/11/2019,S11,0.309193588
29/11/2019,S37,0.312683605
29/11/2019,S15,0.313399313
29/11/2019,S54,0.314623731
29/11/2019,S24,0.314701058
29/11/2019,S53,0.315717063
29/11/2019,S19,0.323826983
29/11/2019,S30,0.326435011
29/11/2019,S22,0.326542586
29/11/2019,S42,0.32656836
03/01/2020,S18,0.355652466
03/01/2020,S56,0.35634929
03/01/2020,S47,0.357635233
03/01/2020,S27,0.367182293
03/01/2020,S34,0.367398023
03/01/2020,S51,0.369637896
03/01/2020,S15,0.371570933
03/01/2020,S10,0.372398882
03/01/2020,S46,0.372400011
03/01/2020,S60,0.37469402
03/01/2020,S29,0.375172972
03/01/2020,S53,0.376690968
03/01/2020,S11,0.378138028
03/01/2020,S33,0.378691425
03/01/2020,S57,0.380470454
03/01/2020,S4,0.384385842
03/01/2020,S6,0.386641848
03/01/2020,S7,0.392691423
03/01/2020,S50,0.393722089
03/01/2020,S63,0.39609111
09/01/2020,S18,0.396378691
09/01/2020,S34,0.402837261
09/01/2020,S27,0.407254306
09/01/2020,S33,0.407844819
09/01/2020,S39,0.408325406
09/01/2020,S47,0.408364101
09/01/2020,S15,0.408429526
09/01/2020,S45,0.409691282
09/01/2020,S50,0.411581103
09/01/2020,S32,0.412165341
09/01/2020,S36,0.412508895
09/01/2020,S19,0.413278736
09/01/2020,S6,0.413596483
09/01/2020,S40,0.414740805
09/01/2020,S22,0.415243027
09/01/2020,S54,0.415383441
09/01/2020,S4,0.415919517
09/01/2020,S57,0.415996843
09/01/2020,S46,0.416318551
09/01/2020,S63,0.416785067
14/01/2020,S36,0.316109947
14/01/2020,S56,0.317130595
14/01/2020,S47,0.322431315
14/01/2020,S15,0.326675352
14/01/2020,S49,0.32671655
14/01/2020,S51,0.328062217
14/01/2020,S22,0.336748916
14/01/2020,S52,0.337450378
14/01/2020,S54,0.338852802
14/01/2020,S10,0.33904014
14/01/2020,S27,0.341685387
14/01/2020,S57,0.34178927
14/01/2020,S11,0.343666995
14/01/2020,S13,0.344441067
14/01/2020,S18,0.347230791
14/01/2020,S46,0.347264516
14/01/2020,S40,0.34733492
14/01/2020,S34,0.348753119
14/01/2020,S20,0.349716761
14/01/2020,S64,0.352048192
15/01/2020,S56,0.321379683
15/01/2020,S57,0.324647376
15/01/2020,S60,0.33079874
15/01/2020,S46,0.332866163
15/01/2020,S51,0.343923613
15/01/2020,S29,0.345688577
15/01/2020,S13,0.346353974
15/01/2020,S33,0.347798762
15/01/2020,S11,0.351528835
15/01/2020,S18,0.352148686
15/01/2020,S52,0.355864317
15/01/2020,S10,0.3559889
15/01/2020,S6,0.357791953
15/01/2020,S22,0.357819661
15/01/2020,S37,0.360334285
15/01/2020,S39,0.360473897
15/01/2020,S54,0.362119159
15/01/2020,S34,0.363447501
15/01/2020,S19,0.367027674
15/01/2020,S49,0.367404147
16/01/2020,S49,0.309074088
16/01/2020,S56,0.310649702
16/01/2020,S4,0.310797185
16/01/2020,S54,0.312501143
16/01/2020,S36,0.314067958
16/01/2020,S51,0.315293242
16/01/2020,S52,0.316720938
16/01/2020,S50,0.317910711
16/01/2020,S57,0.322460024
16/01/2020,S6,0.327735963
16/01/2020,S11,0.328873691
16/01/2020,S39,0.329161002
16/01/2020,S10,0.329413919
16/01/2020,S63,0.335299175
16/01/2020,S16,0.337264126
16/01/2020,S34,0.337366993
16/01/2020,S13,0.338321247
16/01/2020,S5,0.340347033
16/01/2020,S27,0.341956882
16/01/2020,S64,0.34351335
17/01/2020,S60,0.309255257
17/01/2020,S56,0.316261112
17/01/2020,S10,0.319564732
17/01/2020,S15,0.324080612
17/01/2020,S51,0.324481275
17/01/2020,S40,0.330600796
17/01/2020,S30,0.331040667
17/01/2020,S13,0.332425885
17/01/2020,S39,0.333878157
17/01/2020,S14,0.334321083
17/01/2020,S47,0.337581037
17/01/2020,S18,0.340766233
17/01/2020,S54,0.344242612
17/01/2020,S5,0.34573883
17/01/2020,S46,0.346064752
17/01/2020,S24,0.347310183
17/01/2020,S6,0.348515576
17/01/2020,S57,0.349883727
17/01/2020,S4,0.352676312
17/01/2020,S34,0.355092143
22/01/2020,S56,0.280210128
22/01/2020,S15,0.297256465
22/01/2020,S27,0.3004136
22/01/2020,S57,0.302867585
22/01/2020,S4,0.305729693
22/01/2020,S36,0.306196362
22/01/2020,S40,0.306849317
22/01/2020,S60,0.307301876
22/01/2020,S51,0.308667485
22/01/2020,S18,0.313428996
22/01/2020,S39,0.313449539
22/01/2020,S52,0.316238735
22/01/2020,S32,0.317754893
22/01/2020,S22,0.319493664
22/01/2020,S53,0.32140976
22/01/2020,S34,0.322531406
22/01/2020,S33,0.324941082
22/01/2020,S11,0.326598545
22/01/2020,S50,0.326779222
22/01/2020,S6,0.328830793
24/01/2020,S56,0.305759917
24/01/2020,S51,0.306382727
24/01/2020,S13,0.323023163
24/01/2020,S52,0.323582014
24/01/2020,S47,0.327640658
24/01/2020,S10,0.330106043
24/01/2020,S22,0.33123119
24/01/2020,S40,0.335109886
24/01/2020,S39,0.335505235
24/01/2020,S57,0.335896935
24/01/2020,S60,0.336273497
24/01/2020,S18,0.337262592
24/01/2020,S49,0.33750685
24/01/2020,S6,0.338499803
24/01/2020,S11,0.342342476
24/01/2020,S46,0.34370711
24/01/2020,S15,0.344881413
24/01/2020,S34,0.346238118
24/01/2020,S4,0.34814184
24/01/2020,S27,0.352096706
18/02/2020,S10,0.31959324
18/02/2020,S56,0.32494441
18/02/2020,S15,0.325375664
18/02/2020,S47,0.325600081
18/02/2020,S57,0.333123751
18/02/2020,S33,0.335530604
18/02/2020,S60,0.34129518
18/02/2020,S40,0.341534419
18/02/2020,S39,0.345370622
18/02/2020,S53,0.346979482
18/02/2020,S51,0.349836954
18/02/2020,S6,0.349884034
18/02/2020,S46,0.349991772
18/02/2020,S4,0.351781785
18/02/2020,S50,0.352180289
18/02/2020,S54,0.352735357
18/02/2020,S22,0.353782211
18/02/2020,S34,0.354385194
18/02/2020,S18,0.355613777
18/02/2020,S27,0.355894244
20/02/2020,S15,0.305737899
20/02/2020,S10,0.307111917
20/02/2020,S51,0.307982952
20/02/2020,S18,0.310237642
20/02/2020,S39,0.312218155
20/02/2020,S13,0.313179034
20/02/2020,S60,0.314158475
20/02/2020,S27,0.316053199
20/02/2020,S57,0.317624491
20/02/2020,S56,0.31863481
20/02/2020,S24,0.320079802
20/02/2020,S14,0.323934953
20/02/2020,S4,0.327524861
20/02/2020,S30,0.328417662
20/02/2020,S34,0.329271929
20/02/2020,S50,0.331073564
20/02/2020,S54,0.33121953
20/02/2020,S6,0.331483423
20/02/2020,S22,0.331707678
20/02/2020,S7,0.333321366
27/02/2020,S15,0.309452549
27/02/2020,S51,0.318252186
27/02/2020,S18,0.31980223
27/02/2020,S56,0.323322758
27/02/2020,S60,0.33094253
27/02/2020,S53,0.33128693
27/02/2020,S40,0.331503386
27/02/2020,S47,0.331879914
27/02/2020,S49,0.335174338
27/02/2020,S50,0.335662277
27/02/2020,S27,0.336823943
27/02/2020,S57,0.337417801
27/02/2020,S34,0.338042603
27/02/2020,S4,0.339313977
27/02/2020,S10,0.341230829
27/02/2020,S33,0.341666651
27/02/2020,S13,0.342479959
27/02/2020,S64,0.344129284
27/02/2020,S7,0.344430164
27/02/2020,S12,0.345525411
01/03/2020,S56,0.310394598
01/03/2020,S40,0.313468617
01/03/2020,S57,0.319264079
01/03/2020,S39,0.322107354
01/03/2020,S51,0.324424924
01/03/2020,S54,0.327156153
01/03/2020,S6,0.331405893
01/03/2020,S60,0.333921204
01/03/2020,S63,0.335122338
01/03/2020,S11,0.335874037
01/03/2020,S50,0.337885748
01/03/2020,S27,0.338183496
01/03/2020,S53,0.338345856
01/03/2020,S13,0.339160045
01/03/2020,S46,0.339452425
01/03/2020,S34,0.339967726
01/03/2020,S52,0.34106909
01/03/2020,S49,0.342381659
01/03/2020,S15,0.342708437
01/03/2020,S47,0.345141633
03/03/2020,S15,0.350737691
03/03/2020,S56,0.355369572
03/03/2020,S27,0.356350411
03/03/2020,S60,0.357180747
03/03/2020,S18,0.369684556
03/03/2020,S11,0.374706873
03/03/2020,S47,0.378095349
03/03/2020,S34,0.37910094
03/03/2020,S7,0.379856063
03/03/2020,S57,0.381565234
03/03/2020,S4,0.383366876
03/03/2020,S53,0.383571024
03/03/2020,S10,0.383651048
03/03/2020,S51,0.385269051
03/03/2020,S23,0.390996024
03/03/2020,S54,0.391783828
03/03/2020,S22,0.396203736
03/03/2020,S19,0.396387796
03/03/2020,S24,0.398182555
03/03/2020,S29,0.400150754
28/03/2020,S33,0.461730688
28/03/2020,S34,0.466968727
28/03/2020,S14,0.471471033
28/03/2020,S4,0.472728291
28/03/2020,S30,0.472776948
28/03/2020,S8,0.477213114
28/03/2020,S6,0.480585417
28/03/2020,S47,0.480988179
28/03/2020,S50,0.481329679
28/03/2020,S19,0.482592968
28/03/2020,S56,0.484101673
28/03/2020,S46,0.485156832
28/03/2020,S37,0.486392642
28/03/2020,S60,0.488200423
28/03/2020,S10,0.488632554
28/03/2020,S9,0.491341479
28/03/2020,S11,0.491913484
28/03/2020,S57,0.492482183
28/03/2020,S44,0.492536096
28/03/2020,S61,0.4941181
22/07/2020,S57,0.398989336
22/07/2020,S15,0.400255514
22/07/2020,S37,0.403071924
22/07/2020,S24,0.412876206
22/07/2020,S28,0.413410012
22/07/2020,S19,0.41460352
22/07/2020,S29,0.41562743
22/07/2020,S14,0.416085114
22/07/2020,S52,0.417831294
22/07/2020,S30,0.419997858
22/07/2020,S33,0.420160186
22/07/2020,S10,0.422837672
22/07/2020,S47,0.423285436
22/07/2020,S62,0.424322276
22/07/2020,S56,0.424443159
22/07/2020,S39,0.428888327
22/07/2020,S51,0.42889346
22/07/2020,S4,0.429385924
22/07/2020,S31,0.430354161
22/07/2020,S48,0.431724851
01/09/2020,S56,0.31702563
01/09/2020,S46,0.319840805
01/09/2020,S47,0.328063923
01/09/2020,S51,0.328930457
01/09/2020,S15,0.329487012
01/09/2020,S6,0.329679931
01/09/2020,S12,0.33660437
01/09/2020,S60,0.337205255
01/09/2020,S57,0.341804648
01/09/2020,S40,0.342622181
01/09/2020,S36,0.345018062
01/09/2020,S8,0.345362119
01/09/2020,S22,0.345413664
01/09/2020,S13,0.345789619
01/09/2020,S52,0.345809217
01/09/2020,S10,0.345839857
01/09/2020,S64,0.346214753
01/09/2020,S39,0.348225279
01/09/2020,S11,0.348758707
01/09/2020,S25,0.348956396
23/10/2020,S33,0.40364926
23/10/2020,S37,0.412657343
23/10/2020,S34,0.412835892
23/10/2020,S19,0.41512679
23/10/2020,S50,0.418209224
23/10/2020,S13,0.418445501
23/10/2020,S56,0.418920498
23/10/2020,S22,0.420730039
23/10/2020,S54,0.421058799
23/10/2020,S30,0.422727628
23/10/2020,S40,0.424106801
23/10/2020,S15,0.424338342
23/10/2020,S57,0.425767765
23/10/2020,S11,0.425861581
23/10/2020,S4,0.425957084
23/10/2020,S7,0.426091758
23/10/2020,S39,0.428281889
23/10/2020,S51,0.42881042
23/10/2020,S27,0.430201072
23/10/2020,S6,0.430380055
28/10/2020,S39,0.404231902
28/10/2020,S14,0.406425327
28/10/2020,S29,0.415378369
28/10/2020,S34,0.416275761
28/10/2020,S33,0.419354344
28/10/2020,S51,0.420930097
28/10/2020,S47,0.421617642
28/10/2020,S22,0.423456881
28/10/2020,S19,0.423628793
28/10/2020,S50,0.424092436
28/10/2020,S54,0.424785828
28/10/2020,S24,0.425670238
28/10/2020,S4,0.426599068
28/10/2020,S27,0.428971576
28/10/2020,S15,0.429571166
28/10/2020,S46,0.430578822
28/10/2020,S10,0.435829059
28/10/2020,S13,0.436813048
28/10/2020,S37,0.437400185
28/10/2020,S62,0.437411449
30/10/2020,S57,0.388173189
30/10/2020,S51,0.402478462
30/10/2020,S34,0.402676468
30/10/2020,S27,0.410862903
30/10/2020,S56,0.411497918
30/10/2020,S47,0.412012223
30/10/2020,S9,0.414109205
30/10/2020,S50,0.415702034
30/10/2020,S22,0.416354697
30/10/2020,S29,0.41721273
30/10/2020,S53,0.418043345
30/10/2020,S54,0.41939975
30/10/2020,S48,0.422458765
30/10/2020,S5,0.422609094
30/10/2020,S55,0.424477006
30/10/2020,S39,0.424665348
30/10/2020,S13,0.428466691
30/10/2020,S15,0.428959193
30/10/2020,S49,0.429240069
30/10/2020,S33,0.429434318
15/03/2021,S15,0.307786975
15/03/2021,S10,0.310217542
15/03/2021,S33,0.312139708
15/03/2021,S46,0.314050886
15/03/2021,S56,0.31475422
15/03/2021,S36,0.316734544
15/03/2021,S9,0.316736311
15/03/2021,S19,0.319398492
15/03/2021,S48,0.321485864
15/03/2021,S29,0.323433067
15/03/2021,S41,0.324028511
15/03/2021,S51,0.324434165
15/03/2021,S34,0.32529451
15/03/2021,S24,0.325311413
15/03/2021,S22,0.325391175
15/03/2021,S12,0.326037049
15/03/2021,S25,0.326587967
15/03/2021,S7,0.327548351
15/03/2021,S47,0.328070718
15/03/2021,S52,0.328256709
18/03/2021,S56,0.309646631
18/03/2021,S28,0.314988373
18/03/2021,S33,0.316035496
18/03/2021,S40,0.326238221
18/03/2021,S19,0.333534
18/03/2021,S49,0.334336958
18/03/2021,S39,0.3349957
18/03/2021,S29,0.336078213
18/03/2021,S27,0.33611406
18/03/2021,S48,0.336202323
18/03/2021,S11,0.336530982
18/03/2021,S36,0.340190536
18/03/2021,S52,0.340719308
18/03/2021,S46,0.341727186
18/03/2021,S15,0.342618191
18/03/2021,S34,0.344242652
18/03/2021,S51,0.344379091
18/03/2021,S7,0.344894726
18/03/2021,S24,0.346509015
18/03/2021,S55,0.349096632
22/03/2021,S10,0.321541256
22/03/2021,S56,0.333660773
22/03/2021,S11,0.335295237
22/03/2021,S52,0.335413497
22/03/2021,S15,0.335555958
22/03/2021,S40,0.338545555
22/03/2021,S13,0.338876744
22/03/2021,S55,0.339464821
22/03/2021,S33,0.340151856
22/03/2021,S29,0.343820043
22/03/2021,S27,0.344857242
22/03/2021,S39,0.346082695
22/03/2021,S24,0.347739712
22/03/2021,S4,0.347931027
22/03/2021,S34,0.348495393
22/03/2021,S51,0.348617282
22/03/2021,S12,0.349862257
22/03/2021,S57,0.35039941
22/03/2021,S54,0.351282428
22/03/2021,S48,0.351407051
23/03/2021,S32,0.310427319
23/03/2021,S64,0.31147792
23/03/2021,S29,0.317537205
23/03/2021,S10,0.317846334
23/03/2021,S15,0.317975268
23/03/2021,S33,0.31805587
23/03/2021,S60,0.318139585
23/03/2021,S48,0.319572272
23/03/2021,S52,0.319692308
23/03/2021,S55,0.32070257
23/03/2021,S11,0.32125972
23/03/2021,S47,0.321508798
23/03/2021,S18,0.322395345
23/03/2021,S34,0.323947309
23/03/2021,S51,0.324664122
23/03/2021,S30,0.32657659
23/03/2021,S24,0.326643052
23/03/2021,S23,0.327548007
23/03/2021,S28,0.327808426
23/03/2021,S50,0.328559862
25/03/2021,S56,0.311905375
25/03/2021,S22,0.314980758
25/03/2021,S15,0.318070186
25/03/2021,S4,0.318172335
25/03/2021,S10,0.318830534
25/03/2021,S33,0.319888671
25/03/2021,S46,0.322087363
25/03/2021,S52,0.324695674
25/03/2021,S28,0.325776145
25/03/2021,S5,0.325909162
25/03/2021,S34,0.327035481
25/03/2021,S20,0.327738187
25/03/2021,S14,0.327769628
25/03/2021,S29,0.328148705
25/03/2021,S48,0.328643123
25/03/2021,S63,0.328728238
25/03/2021,S16,0.329605826
25/03/2021,S27,0.329792972
25/03/2021,S37,0.330073724
25/03/2021,S57,0.330296827
29/03/2021,S55,0.300676174
29/03/2021,S15,0.305126712
29/03/2021,S25,0.310322217
29/03/2021,S33,0.311001738
29/03/2021,S20,0.312747473
29/03/2021,S29,0.313540106
29/03/2021,S52,0.314740676
29/03/2021,S53,0.322297292
29/03/2021,S56,0.322714701
29/03/2021,S64,0.323717184
29/03/2021,S34,0.326016419
29/03/2021,S46,0.326153686
29/03/2021,S36,0.327701567
29/03/2021,S57,0.327920781
29/03/2021,S16,0.330733002
29/03/2021,S19,0.331084143
29/03/2021,S27,0.332052928
29/03/2021,S18,0.335053391
29/03/2021,S10,0.335332471
29/03/2021,S11,0.336374547
20/04/2021,S51,0.302597217
20/04/2021,S52,0.309893461
20/04/2021,S64,0.312099957
20/04/2021,S55,0.312522819
20/04/2021,S10,0.31278838
20/04/2021,S56,0.313927375
20/04/2021,S34,0.314031919
20/04/2021,S48,0.319271279
20/04/2021,S7,0.321858919
20/04/2021,S24,0.322535667
20/04/2021,S19,0.322647893
20/04/2021,S46,0.327588893
20/04/2021,S11,0.328129217
20/04/2021,S33,0.32825264
20/04/2021,S43,0.329409501
20/04/2021,S29,0.331221598
20/04/2021,S4,0.331378645
20/04/2021,S50,0.333148913
20/04/2021,S15,0.333228314
20/04/2021,S40,0.335658735
22/04/2021,S10,0.315383096
22/04/2021,S52,0.320404757
22/04/2021,S33,0.323241351
22/04/2021,S56,0.323968909
22/04/2021,S55,0.325026742
22/04/2021,S48,0.328824788
22/04/2021,S5,0.32899421
22/04/2021,S51,0.33100866
22/04/2021,S1,0.331261654
22/04/2021,S18,0.332419609
22/04/2021,S4,0.333414072
22/04/2021,S29,0.334537343
22/04/2021,S47,0.335501846
